village_id,src_file,feature_idx,village_name,state,district,taluka,census_code,polygon_area_km2,multi_cell_flag,duplicate_code_flag,centroid_lat,centroid_lon,node_lat,node_lon,node_i,node_j,fine_elev_m,era5_elev_m,srtm_node_elev_m,dz_era5_m,dt_era5_c,direction,materiality,dz_srtm_m,dt_srtm_c,t_fine_mean_c,t_fine_max_c,t_fine_min_c,rh_downscaled_pct,rh_clamped_flag,eto_hs_mm_day,heat_stress_flag,high_irrigation_flag,wind_block_status,wind_tpi_status
ka.geojson:1601,ka.geojson,1601,Idu,KA,Udupi,Karkal,90030003000300006,26.8955,1,0,13.14088,75.14183,13.25,75.25,17,7,290.1,528.6,875.1,-238.5,1.55,WARMING,MATERIAL,-584.9,3.8,23.8,26.8,20.8,87.6,0,3.62,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21860,ka.geojson,21860,Sunkadamakki,KA,Chikmagalur,Sringeri,70060006000600035,3.5989,0,0,13.36257,75.20591,13.25,75.25,17,7,708.2,528.6,875.1,179.6,-1.17,COOLING,MATERIAL,-166.8,1.08,21.09,24.09,18.09,100.0,1,3.39,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21840,ka.geojson,21840,Nemmaru,KA,Chikmagalur,Sringeri,70060006000600034,5.8951,1,0,13.37385,75.23027,13.25,75.25,17,7,718.1,528.6,875.1,189.5,-1.23,COOLING,MATERIAL,-157.0,1.02,21.02,24.02,18.02,100.0,1,3.38,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21876,ka.geojson,21876,Kere,KA,Chikmagalur,Sringeri,70060006000600047,17.2226,1,0,13.33699,75.12879,13.25,75.25,17,7,738.3,528.6,875.1,209.7,-1.36,COOLING,MATERIAL,-136.8,0.89,20.89,23.89,17.89,100.0,1,3.37,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21859,ka.geojson,21859,Haruru (Harur),KA,Chikmagalur,Sringeri,70060006000600038,5.5634,1,0,13.35878,75.24435,13.25,75.25,17,7,743.3,528.6,875.1,214.8,-1.4,COOLING,MATERIAL,-131.7,0.86,20.86,23.86,17.86,100.0,1,3.37,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21900,ka.geojson,21900,Gulaganjimane,KA,Chikmagalur,Sringeri,70060006000600044,7692.0269,0,0,13.33869,75.17783,13.25,75.25,17,7,745.7,528.6,875.1,217.1,-1.41,COOLING,MATERIAL,-129.4,0.84,20.84,23.84,17.84,100.0,1,3.37,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21844,ka.geojson,21844,Kuthagodu,KA,Chikmagalur,Sringeri,70060006000600013,5.0568,1,0,13.37399,75.26544,13.25,75.25,17,7,759.8,528.6,875.1,231.2,-1.5,COOLING,MATERIAL,-115.3,0.75,20.75,23.75,17.75,100.0,1,3.36,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21895,ka.geojson,21895,Byredevaru,KA,Chikmagalur,Koppa,70030003000300050,13.3038,0,0,13.34275,75.33699,13.25,75.25,17,7,767.4,528.6,875.1,238.8,-1.55,COOLING,MATERIAL,-107.7,0.7,20.7,23.7,17.7,100.0,1,3.36,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21822,ka.geojson,21822,Balekadi,KA,Chikmagalur,Sringeri,70060006000600048,23.2465,1,0,13.35808,75.16144,13.25,75.25,17,7,785.9,528.6,875.1,257.3,-1.67,COOLING,MATERIAL,-89.2,0.58,20.58,23.58,17.58,100.0,1,3.34,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
ka.geojson:21925,ka.geojson,21925,Mathuvalli Estate,KA,Chikmagalur,Sringeri,70060006000600043,0.7161,0,0,13.33408,75.19091,13.25,75.25,17,7,792.1,528.6,875.1,263.5,-1.71,COOLING,MATERIAL,-83.0,0.54,20.54,23.54,17.54,100.0,1,3.34,0,0,SOURCED — SOURCED FROM ARCO ERA5 10M WIND,ESTIMATED — NO SOURCE
